"StartDate","EndDate","IPAddress","duration","RecordedDate","LocationLatitude","LocationLongitude","UserLanguage","hb_1","hb_2","hb_3","hb_4","nat_1","nat_2r","nat_3","nat_4","nat_5","diseaseLikeli_1","diseaseLikeli_2","diseaseLikeli_3","check_3","diseaseSevere_1","diseaseSevere_2","diseaseSevere_3","diseaseSevere_4","diseaseSevere_5r","vaccEff_1","vaccEff_2r","vaccEff_3r","vaccEff_4","vaccDanger_1","vaccDanger_2","vaccDanger_3","vaccDanger_4r","medSkept_1","medSkept_2r","medSkept_3","medSkept_4","medSkept_5","medSkept_6","vaccIntent_1r","vaccIntent_2","vaccIntent_3r","vaccIntent_4","vaccIntent_5r","parDuty_1","parDuty_2","parDuty_3","parDuty_4","check_5","parExpert_1","parExpert_2","parExpert_3","parExpert_4","parExpert_5","immCap_1","immCap_2","immCap_3r","immCap_4","immSymptoms_1","immSymptoms_2","immSympt_3r","immSympt_4r","immWeak_1","immWeak_2","immWeak_3r","immWeak_4r","immWeak_5","immStrain_1","immStrain_2r","immPassive_1","immPassive_2r","immPassive_3","sex","age","educ","comments"
"6/15/17 7:07","6/15/17 7:15","6804f2460fa6cd23",459,"6/15/17 7:15",32.96,-96.62,"EN",3,7,4,6,5,2,5,6,6,7,7,7,3,2,2,4,2,7,1,6,7,2,7,5,6,2,3,3,7,5,6,4,7,1,5,1,7,3,4,2,2,5,7,7,6,7,7,6,6,2,6,6,5,1,1,5,5,3,4,4,4,4,6,2,2,1,38,3,""
"6/15/17 7:11","6/15/17 7:16","6c750f7bb6a3a9c7",272,"6/15/17 7:16",42.75,-71.01,"EN",4,5,3,5,5,3,4,5,5,5,4,6,3,3,4,3,3,5,3,4,5,4,5,4,5,3,4,3,4,4,5,3,5,2,4,3,6,2,4,2,5,5,4,4,3,5,5,3,3,3,4,4,4,3,5,5,3,3,3,4,5,3,5,3,2,1,27,4,""
"6/15/17 7:08","6/15/17 7:16","661c2eba1654c058",472,"6/15/17 7:16",33.15,-96.86,"EN",3,7,4,7,5,2,6,6,7,7,7,6,2,2,2,2,2,7,1,7,7,1,7,4,7,1,4,1,7,7,7,6,7,1,7,1,7,2,2,2,3,6,7,7,4,7,7,7,7,2,7,6,2,2,2,4,5,1,5,2,6,2,6,3,1,1,32,3,""
"6/15/17 7:07","6/15/17 7:16","a3848a20c96ef720",519,"6/15/17 7:16",33.11,-87.54,"EN",2,4,3,5,2,3,2,4,4,5,5,5,3,3,7,3,3,2,6,2,2,6,2,1,1,6,2,3,3,2,3,1,6,6,1,6,5,1,1,2,5,5,2,1,1,2,3,5,2,3,5,7,6,3,2,2,5,2,6,7,2,7,3,2,2,0,36,4,""
"6/15/17 7:07","6/15/17 7:16","c03fe7daeb92cbd1",527,"6/15/17 7:16",41.24,-80.54,"EN",3,3,4,4,4,4,3,4,5,7,7,7,3,2,2,2,2,1,3,5,7,3,6,4,6,2,3,3,5,3,4,1,7,1,4,1,7,2,5,1,1,5,6,5,3,5,6,6,5,2,6,6,5,1,1,3,3,1,4,4,4,4,5,4,1,1,32,4,""
"6/15/17 7:07","6/15/17 7:16","53225f2e5a70026f",536,"6/15/17 7:16",44.64,-123.27,"EN",3,5,5,6,2,4,2,5,6,6,3,6,3,3,5,2,3,6,4,2,5,5,6,3,6,2,2,3,6,6,5,3,6,2,4,2,6,2,2,2,3,5,2,2,3,2,3,6,3,2,6,6,3,3,2,2,4,4,6,2,3,3,6,2,2,1,55,4,"had to guess on some of them"
"6/15/17 7:07","6/15/17 7:17","a900445e955ce192",559,"6/15/17 7:17",31.03,-97.85,"EN",3,5,3,6,5,5,5,5,6,5,5,5,3,5,5,3,3,5,3,6,5,3,5,4,5,2,1,3,5,3,5,2,6,2,5,2,6,1,2,2,5,5,3,5,3,3,5,5,5,2,5,6,3,2,2,5,3,2,2,3,3,3,5,3,2,1,70,3,"None.  Thanks."
"6/15/17 7:09","6/15/17 7:17","b892ebc568071f00",471,"6/15/17 7:17",35.05,-80.82,"EN",2,4,6,4,7,1,6,6,4,7,7,7,3,2,2,4,4,7,2,6,7,1,7,5,6,1,5,2,7,6,6,6,7,1,4,1,7,1,2,2,4,5,4,5,2,5,7,7,4,2,7,6,4,2,2,3,4,2,2,4,6,2,5,3,1,0,34,3,""
"6/15/17 7:07","6/15/17 7:17","cfe9cdf2b6f63878",595,"6/15/17 7:17",40.85,-74.59,"EN",3,5,4,3,4,2,4,4,6,3,5,5,3,2,3,2,4,5,2,4,5,2,5,5,4,3,2,2,6,3,4,2,6,2,3,2,6,3,3,3,3,5,3,5,2,3,4,4,3,3,3,4,4,2,2,3,4,3,4,2,4,2,4,4,2,1,33,3,""
"6/15/17 7:10","6/15/17 7:17","786d5d37ffc827dd",421,"6/15/17 7:17",38.18,-86.15,"EN",1,4,2,3,6,1,7,7,7,7,7,7,3,2,1,1,2,6,1,7,7,1,7,6,7,1,1,2,5,5,6,2,7,1,7,1,7,1,1,1,7,6,3,6,2,6,7,7,6,1,7,6,2,3,2,1,5,1,3,2,7,1,3,4,1,1,22,2,"It was fun."
"6/15/17 7:07","6/15/17 7:18","1d6b28f888849e44",621,"6/15/17 7:18",26.27,-80.26,"EN",4,7,4,4,6,4,5,4,7,4,7,4,3,4,3,4,4,6,4,4,7,1,7,4,6,4,2,1,4,4,4,3,7,1,7,1,7,1,4,2,3,5,4,7,4,1,4,6,4,4,4,6,2,4,4,4,4,4,6,3,4,4,4,4,3,1,23,4,"No"
"6/15/17 7:07","6/15/17 7:18","b2c5909a4cb70b57",637,"6/15/17 7:18",43.53,-112.27,"EN",4,6,6,6,6,1,7,7,7,7,6,6,3,2,3,1,2,7,2,7,7,1,7,5,6,1,3,3,6,5,5,4,7,1,6,1,7,1,2,1,2,5,3,4,2,5,5,7,3,1,7,6,4,1,1,3,5,1,2,1,2,5,6,2,1,0,28,4,"thanks"
"6/15/17 7:07","6/15/17 7:18","43be37a207cd59da",646,"6/15/17 7:18",41.6,-86.26,"EN",3,4,5,4,5,3,4,6,6,6,6,6,3,4,3,4,4,5,2,4,6,2,6,6,6,2,4,2,6,6,5,2,6,2,6,2,6,2,3,2,2,5,4,4,3,5,6,6,4,2,6,6,5,2,2,2,4,2,6,4,6,3,5,3,2,0,39,6,""
"6/15/17 7:13","6/15/17 7:19","7f2ad857e0791a62",375,"6/15/17 7:19",38.65,-90.53,"EN",3,4,4,4,4,2,4,2,6,6,6,6,3,2,2,1,2,6,2,5,6,2,6,6,4,2,2,2,6,6,4,2,6,2,6,2,6,2,2,2,2,5,5,6,2,5,6,6,2,2,6,2,2,3,3,3,5,3,4,3,3,3,5,3,2,1,38,3,""
"6/15/17 7:07","6/15/17 7:19","22480b0fea80ffea",711,"6/15/17 7:19",33.97,-84.23,"EN",2,6,3,7,6,2,6,7,7,7,6,6,3,2,5,6,4,4,1,4,7,2,6,5,4,2,5,3,7,3,4,3,7,1,6,1,7,4,4,2,5,5,6,6,2,2,5,7,5,3,6,7,6,3,1,2,7,3,5,2,6,2,4,6,2,1,23,4,""
"6/15/17 7:07","6/15/17 7:19","414d27815334ad85",733,"6/15/17 7:20",33.75,-84.39,"EN",2,3,3,3,3,3,4,4,6,6,7,6,3,4,5,2,3,2,2,4,6,2,6,4,6,1,3,2,6,4,4,2,1,1,5,1,7,1,4,4,1,5,2,4,3,2,4,6,3,3,7,2,4,6,2,5,5,2,4,3,4,4,4,5,2,0,67,4,"no comments"
